event_date,title,summary,category,source_url
1984-01-24,Apple Macintosh introduced,Apple unveils the original Macintosh,history,https://en.wikipedia.org/wiki/Macintosh
2004-02-04,Facebook launches,Mark Zuckerberg launches Facebook,history,https://en.wikipedia.org/wiki/Facebook
1961-04-12,First human in space,Yuri Gagarin orbits Earth aboard Vostok 1,history,https://en.wikipedia.org/wiki/Yuri_Gagarin
1990-04-24,Hubble Space Telescope launched,Hubble deployed by Space Shuttle Discovery,history,https://en.wikipedia.org/wiki/Hubble_Space_Telescope
1969-07-20,Apollo 11 moon landing,Neil Armstrong and Buzz Aldrin land on the Moon,history,https://en.wikipedia.org/wiki/Apollo_11
1989-11-09,Fall of the Berlin Wall,Borders between East and West Berlin open,history,https://en.wikipedia.org/wiki/Berlin_Wall#Fall
2012-07-04,Higgs boson announced,CERN announces observation of a new boson,history,https://en.wikipedia.org/wiki/Higgs_boson#Discovery
1995-08-24,Windows 95 released,Microsoft releases Windows 95,history,https://en.wikipedia.org/wiki/Windows_95
1998-09-04,Google founded,Larry Page and Sergey Brin incorporate Google,tech,https://en.wikipedia.org/wiki/Google
2005-02-14,YouTube launched,YouTube domain activated by former PayPal employees,tech,https://en.wikipedia.org/wiki/YouTube
1957-10-04,Sputnik 1 launched,First artificial satellite enters orbit,science,https://en.wikipedia.org/wiki/Sputnik_1
1962-07-10,Telstar launched,First live transatlantic TV signal via satellite,science,https://en.wikipedia.org/wiki/Telstar
1968-12-24,Apollo 8 orbits the Moon,First crewed mission to orbit the Moon,history,https://en.wikipedia.org/wiki/Apollo_8
1970-04-22,First Earth Day,Environmental movement gains worldwide attention,culture,https://en.wikipedia.org/wiki/Earth_Day
1983-01-01,ARPANET switches to TCP-IP,Internet protocol transition across ARPANET,tech,https://en.wikipedia.org/wiki/History_of_the_Internet#TCP/IP
1999-01-01,Euro introduced,Euro launched as a non cash currency in Europe,history,https://en.wikipedia.org/wiki/Euro#Introduction
2008-09-10,LHC first beams,CERN circulates first beams in the LHC,science,https://en.wikipedia.org/wiki/Large_Hadron_Collider
2019-04-10,First black hole image,Event Horizon Telescope reveals M87 black hole,science,https://en.wikipedia.org/wiki/First_image_of_a_black_hole
1962-10-16,Cuban Missile Crisis begins,US discovers Soviet missiles in Cuba,history,https://en.wikipedia.org/wiki/Cuban_Missile_Crisis
1918-11-11,Armistice Day,End of fighting in World War I,history,https://en.wikipedia.org/wiki/Armistice_of_11_November_1918
1977-05-25,Star Wars released,Original film premieres in US theaters,culture,https://en.wikipedia.org/wiki/Star_Wars_(film)
1963-11-22,John F Kennedy assassinated,US President assassinated in Dallas,history,https://en.wikipedia.org/wiki/Assassination_of_John_F._Kennedy
1986-01-28,Challenger disaster,Space Shuttle Challenger breaks apart after launch,history,https://en.wikipedia.org/wiki/Space_Shuttle_Challenger_disaster
2003-02-01,Columbia disaster,Space Shuttle Columbia lost during reentry,history,https://en.wikipedia.org/wiki/Space_Shuttle_Columbia_disaster
1979-11-04,Iran hostage crisis begins,US embassy seized in Tehran,history,https://en.wikipedia.org/wiki/Iran_hostage_crisis
1990-10-03,German reunification,Germany officially reunified,history,https://en.wikipedia.org/wiki/German_reunification
1992-12-03,First SMS text message sent,First text message sent in the UK,tech,https://en.wikipedia.org/wiki/SMS#History
1975-04-30,Fall of Saigon,North Vietnamese forces capture Saigon,history,https://en.wikipedia.org/wiki/Fall_of_Saigon
1985-03-15,First domain name registered,Symbolics dot com becomes first domain name,tech,https://en.wikipedia.org/wiki/Domain_name#History
2004-12-26,Indian Ocean tsunami,Massive earthquake and tsunami devastate region,history,https://en.wikipedia.org/wiki/2004_Indian_Ocean_earthquake_and_tsunami
2009-01-03,Bitcoin genesis block,Mined first block of Bitcoin blockchain,tech,https://en.wikipedia.org/wiki/Genesis_block
2010-01-12,Haiti earthquake,Major earthquake strikes near Port au Prince,history,https://en.wikipedia.org/wiki/2010_Haiti_earthquake
